Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1961","1961","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1962","1962","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1963","1963","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1964","1964","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1965","1965","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1966","1966","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1967","1967","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1968","1968","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1969","1969","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1970","1970","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1971","1971","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1972","1972","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1973","1973","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1974","1974","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1975","1975","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1976","1976","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1977","1977","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1978","1978","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1979","1979","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1980","1980","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1981","1981","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1982","1982","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1983","1983","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1984","1984","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1985","1985","ha","590","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1986","1986","ha","590","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1987","1987","ha","590","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1988","1988","ha","590","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1989","1989","ha","590","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1990","1990","ha","690","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1991","1991","ha","848","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1992","1992","ha","795","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1993","1993","ha","700","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1994","1994","ha","734","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1995","1995","ha","710","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1996","1996","ha","720","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1997","1997","ha","705","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1998","1998","ha","710","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","1999","1999","ha","720","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2000","2000","ha","710","A","Official figure",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2001","2001","ha","669","I","Imputed value",""
"QCL","Crops and livestock products","591","Panama","5312","Area harvested","01311","Avocados","2002","2002","ha","603","I","Imputed value",""
